name,username,followers_count,listed_count,following,favorites,verified,default_profile,location,time_zone,statuses_count,description,geo_enabled,contributors_enabled,tweet_time,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_contributors
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-08 00:56:59,"RT @KofiAdemola: #HandsOffJerusalemChi #FreePalestine 
.@BLMChi .@Blklivesmatter https://t.co/Yts7MTTzTa",,,RoundTeam,,True,True,10,0,"HandsOffJerusalemChi, FreePalestine",2,https://t.co/Yts7MTTzTa,1,"KofiAdemola, BLMChi, Blklivesmatter",3,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-08 00:51:59,RT @KofiAdemola: HandsOffJerusalemChi #FreePalestine .@BLMChi .@Blklivesmatter https://t.co/ZxMnTBXexE,,,RoundTeam,,True,True,14,0,FreePalestine,1,https://t.co/ZxMnTBXexE,1,"KofiAdemola, BLMChi, Blklivesmatter",3,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 22:51:43,RT @BLMChi: Join us next Thursday!!! https://t.co/uUatZTdRpF,,,RoundTeam,,True,True,6,0,,0,,0,BLMChi,1,photo,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 22:46:42,RT @BLMLA: A MUST READ on @Blklivesmatter! Featuring the voices of @OsopePatrisse @DocMellyMel @shamellbell @aarongoggans and many others....,,,RoundTeam,,True,True,13,0,,0,,0,"BLMLA, Blklivesmatter, OsopePatrisse, DocMellyMel, shamellbell, AaronGoggans",6,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 22:41:41,"RT @DocMellyMel: One of the most in-depth, thoughtful and critical examinations of @Blklivesmatter written. Thank you Brother for telling o...",,,RoundTeam,,True,True,25,0,,0,,0,"DocMellyMel, Blklivesmatter",2,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 19:41:14,"RT @BLMSacramento: Fire and convict the officers of .@ChicoPolice that murders #DesmondPhillips 

Officers Alex Fliehr, Jeremy Gagnebin, Ja...",,,RoundTeam,,True,True,19,0,DesmondPhillips,1,,0,"BLMSacramento, ChicoPolice",2,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 07:09:39,@TaranaBurke we ride for you! Congrats on @TIME person of the year! #Metoo,,,Twitter for iPhone,TaranaBurke,True,False,2,15,Metoo,1,,0,"TaranaBurke, TIME",2,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 02:44:27,RT @DMVBlackLives: Is the assumption we don't care or that all protests always have to be organized and planned by us? Because what we know...,,,RoundTeam,,True,True,23,0,,0,,0,DMVBlackLives,1,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 01:39:14,"RT @BLMSacramento: Hey y'all, who claims to serve the community....We haven't forgotten about how your people got lots to say on the FB #SP...",,,RoundTeam,,True,True,12,0,,0,,0,BLMSacramento,1,,
Black Lives Matter,Blklivesmatter,273074,2163,657,2280,False,False,worldwide,,15273,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osopepatrisse @opalayo @aliciagarza press@blacklivesmatter.com,True,False,2017-12-07 01:14:10,"RT @BLMSacramento: New Year's Eve Eve, Saturday,  December 30th it's going DOWN. Join us for the Rap FEST. $10 donation, come get lit with...",,,RoundTeam,,True,True,10,0,,0,,0,BLMSacramento,1,,
